"ims_org_id","pred.y"
"INS00006412",359366.783641997
"INS00006413",428882.364496378
"INS00001957",480970.808868276
"INS00001961",442992.094441526
"INS00001974",453138.781414892
"INS00006409",9940535.3898819
"INS00489804",330155.955608618
"INS00001402",2252870.00617585
"INS00001962",1621517.89817407
"INS00001964",660598.022882814
"INS00001967",442834.452497003
"INS00001969",493325.635510262
"INS00001975",4088104.23071996
"INS00001956",976950.688479813
"INS00001943",2332852.49042189
"INS00001946",493106.828949956
"INS00001953",3747968.25419126
"INS00001110",2080225.57507842
"INS00005209",20860544.9869141
"INS00005211",329593.321549472
"INS00001577",2681136.09037084
"INS00001938",4258048.30092306
"INS00001951",480254.218948098
"INS00005210",598577.714616109
"INS00006707",329128.02274544
"INS00014926",6778190.83556411
"INS00001621",9428747.83318822
"INS00001623",424938.106023495
"INS00001954",1612453.1296077
"INS00005798",470664.748742747
"INS00005799",397470.445943555
"INS00005800",373547.110477775
"INS00005208",723337.511240302
"INS00001937",419807.564934945
"INS00001944",471824.636365141
"INS00005793",377591.500123541
"INS00005795",423062.576683536
"INS00005797",605155.569453795
"INS00001622",1047462.45503797
"INS00001947",568534.759903481
"INS00005794",566273.982328646
"INS00005796",519470.841945385
"INS00001949",2130974.92428892
"INS00001620",564743.437328502
"INS00001939",1066011.1557763
"INS00001942",328217.101623233
"INS00001950",573816.858811435
"INS00001952",448212.522630951
"INS00001955",828005.373651816
"INS00006408",554053.202118216
"INS00006411",435818.64414496
"INS00006716",329114.039854521
"INS00001993",427461.410781809
"INS00001992",803608.886983408
"INS00001987",523224.080306613
"INS00001988",420354.458384319
"INS00001662",16746460.4478567
"INS00001663",322642.702322909
"INS00005886",699826.911837302
"INS00001661",480802.695231129
"INS00006410",1666217.51599229
"INS00001989",530930.424953344
"INS00001991",3554715.93111047
"INS00005885",517075.502348356
"INS00006414",538498.272889229
"INS00001618",1974132.65026508
"INS00001619",440247.308601082
"INS00002048",4681253.90258595
"INS00002049",441469.878498133
"INS00002055",6429530.25277684
"INS00002059",426348.719215977
"INS00005966",1440379.4676896
"INS00011389",3519519.23162539
"INS00001558",32730308.5372106
"INS00001560",1588495.55650185
"INS00005965",8273993.44702665
"INS00002040",807011.866105761
"INS00002066",581296.229855775
"INS00002050",5843529.49397428
"INS00002065",5075361.06244931
"INS00001559",3438389.71508494
"INS00002034",329313.883662052
"INS00002044",2586381.79211331
"INS00002052",5081849.29193517
"INS00002053",466261.017626124
"INS00074049",1410241.30069676
"INS00005983",12923917.6968288
"INS00006711",5392868.99592195
"INS00006849",24452161.8913061
"INS00106759",330781.985132927
"INS00592283",331066.937712582
"INS00000704",6487098.31102434
"INS00006850",8514339.81830351
"INS00002036",1236458.16957596
"INS00002056",328761.474196477
"INS00002064",3502839.79198246
"INS00601964",328611.552748272
"INS00644856",2492141.34063739
"INS00001604",6879536.5810919
"INS00002057",3303264.06415384
"INS00006851",3680826.11101593
"INS00002063",7086229.37074086
"INS00000755",2657432.81133475
"INS00000759",1496618.78466162
"INS00000953",1487451.7837109
"INS00002010",1182099.89293554
"INS00002029",2696442.22367059
"INS00005139",787571.454869168
"INS00005939",1244286.31016123
"INS00005969",11272360.1999086
"INS00006208",1072124.18981837
"INS00006717",31294088.3850388
"INS00407601",329668.360439243
"INS00491262",329203.518750993
"INS00001127",2010148.44398876
"INS00001128",331239.663215887
"INS00005967",6061053.90778409
"INS00005971",8053095.93897497
"INS00006516",11012223.7137647
"INS00085861",328662.358734293
"INS00605981",701573.740232268
"INS00002100",5281284.09456733
"INS00771641",330213.160619439
"INS00001265",3320587.45826364
"INS00005137",5717290.10152616
"INS00005968",331065.873862051
"INS00006673",1866948.8496277
"INS00006158",15939925.4673143
"INS00006159",329241.777569458
"INS00001693",21373700.6852387
"INS00001998",3775630.55306995
